Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,47.700001,48.849998,47.43,48.779999,257800,48.779999
2015-11-17,48.00,48.169998,47.18,47.369999,268000,47.369999
2015-11-16,47.279999,48.00,47.27,47.889999,252800,47.889999
2015-11-13,47.02,48.23,46.650002,47.360001,407400,47.360001
2015-11-12,48.740002,48.75,46.919998,46.939999,359300,46.939999
2015-11-11,47.48,48.900002,47.48,48.75,408500,48.75
2015-11-10,47.439999,47.650002,46.200001,47.369999,544500,47.369999
2015-11-09,48.18,48.279999,46.630001,47.330002,504100,47.330002
2015-11-06,49.060001,49.09,47.450001,47.970001,465700,47.970001
2015-11-05,50.400002,50.419998,48.43,48.73,490600,48.73
2015-11-04,51.09,51.650002,49.709999,50.02,408200,50.02
2015-11-03,51.080002,52.099998,50.689999,50.880001,459400,50.880001
2015-11-02,51.790001,52.139999,51.00,51.169998,549500,51.169998
2015-10-30,53.900002,54.349998,52.450001,52.48,511500,52.48
2015-10-29,53.689999,54.099998,53.00,53.990002,330200,53.990002
2015-10-28,52.689999,53.959999,52.650002,53.77,407600,53.77
2015-10-27,52.00,54.00,51.369999,52.84,825600,52.84
2015-10-26,49.389999,51.09,49.150002,50.169998,594000,50.169998
2015-10-23,49.16,49.82,48.779999,49.169998,478400,49.169998
2015-10-22,48.23,49.169998,47.490002,48.599998,571400,48.599998
2015-10-21,49.84,49.860001,47.610001,48.23,763100,48.23
2015-10-20,48.970001,50.18,48.740002,49.299999,514400,49.299999
2015-10-19,47.200001,49.389999,46.900002,49.279999,420000,49.279999
2015-10-16,46.77,47.68,46.50,47.150002,276100,47.150002
2015-10-15,46.540001,47.099998,46.23,46.330002,306900,46.330002
2015-10-14,47.43,48.150002,46.529999,46.57,393600,46.57
2015-10-13,47.119999,48.130001,47.119999,47.490002,372500,47.490002
2015-10-12,46.41,46.41,46.41,46.41,000,46.41
2015-10-09,46.549999,47.400002,46.119999,47.009998,364300,47.009998
2015-10-08,47.240002,47.619999,45.93,46.41,471800,46.41
2015-10-07,46.75,46.939999,45.52,46.869999,376100,46.869999
2015-10-06,46.830002,46.880001,46.200001,46.509998,309400,46.509998
2015-10-05,46.369999,46.830002,45.57,46.50,385500,46.50
2015-10-02,46.689999,46.759998,45.139999,46.049999,566100,46.049999
2015-10-01,48.029999,48.099998,46.509998,46.619999,478400,46.619999
2015-09-30,46.860001,48.209999,46.810001,48.040001,687400,48.040001
2015-09-29,48.349998,48.509998,46.509998,46.599998,698300,46.599998
2015-09-28,49.490002,49.970001,48.259998,48.369999,383300,48.369999
2015-09-25,50.07,51.00,49.509998,49.509998,471000,49.509998
2015-09-24,50.099998,50.509998,48.810001,49.59,298400,49.59
2015-09-23,50.330002,50.66,49.990002,50.209999,179500,50.209999
2015-09-22,49.84,50.209999,49.50,50.02,373900,50.02
2015-09-21,48.470001,50.490002,48.470001,50.310001,399400,50.310001
2015-09-18,48.689999,49.099998,48.139999,48.349998,1415600,48.349998
2015-09-17,48.759998,49.880001,48.50,49.310001,258700,49.310001
2015-09-16,49.279999,49.619999,48.740002,48.740002,829000,48.740002
2015-09-15,48.599998,49.610001,48.200001,49.349998,423700,49.349998
2015-09-14,49.509998,49.66,48.950001,48.98,173700,48.98
2015-09-11,49.439999,49.84,48.669998,49.50,211100,49.50
2015-09-10,50.290001,51.09,49.349998,49.459999,211400,49.459999
2015-09-09,50.380001,51.450001,50.380001,50.639999,239600,50.639999
2015-09-08,50.91,51.360001,49.98,50.09,321200,50.09
2015-09-07,50.220001,50.220001,50.220001,50.220001,000,50.220001
2015-09-04,49.50,50.369999,49.200001,49.869999,262300,49.869999
2015-09-03,49.709999,50.880001,49.700001,50.220001,277500,50.220001
2015-09-02,49.50,50.150002,49.119999,49.630001,263100,49.630001
2015-09-01,49.040001,50.27,48.790001,49.349998,324900,49.349998
2015-08-31,52.189999,52.900002,50.43,50.48,487600,50.48
2015-08-28,52.169998,52.57,51.73,52.310001,231700,52.310001
2015-08-27,51.630001,53.18,51.00,52.549999,560300,52.549999
2015-08-26,51.00,51.799999,49.189999,51.709999,529600,51.709999
2015-08-25,51.490002,51.790001,49.509998,49.560001,410800,49.400001
2015-08-24,49.990002,51.700001,46.470001,49.990002,764900,49.828613
2015-08-21,52.599998,52.959999,51.669998,51.860001,391300,51.692574
2015-08-20,55.200001,55.560001,53.040001,53.040001,366500,52.868765
2015-08-19,55.41,55.959999,54.740002,55.779999,291100,55.599917
2015-08-18,56.349998,56.349998,55.130001,55.220001,240100,55.041728
2015-08-17,55.509998,56.68,55.310001,56.560001,208800,56.377402
2015-08-14,55.849998,55.849998,55.310001,55.82,162600,55.639789
2015-08-13,54.720001,56.00,54.720001,55.549999,203400,55.37066
2015-08-12,55.200001,55.200001,53.919998,54.580002,337600,54.403794
2015-08-11,55.41,56.380001,55.220001,55.810001,253700,55.629823
2015-08-10,56.470001,56.68,55.009998,55.560001,244200,55.38063
2015-08-07,56.779999,57.389999,55.779999,56.279999,176500,56.098303
2015-08-06,58.16,58.16,56.27,56.50,165200,56.317594
2015-08-05,57.540001,58.830002,57.439999,57.919998,253600,57.733008
2015-08-04,56.50,57.540001,56.48,57.450001,335200,57.264528
2015-07-31,55.610001,56.860001,55.610001,56.580002,267300,56.397337
2015-07-30,56.00,56.23,55.049999,55.970001,229900,55.789306
2015-07-29,55.00,55.82,55.00,55.740002,282400,55.560049
2015-07-28,54.209999,55.400002,53.869999,55.349998,337700,55.171305
2015-07-27,54.150002,56.09,53.200001,54.209999,946400,54.034986
2015-07-24,51.720001,52.959999,51.549999,52.200001,305700,52.031477
2015-07-23,51.77,52.279999,51.049999,51.50,221800,51.333736
2015-07-22,50.759998,52.450001,50.759998,52.099998,185000,51.931797
2015-07-21,52.369999,52.369999,50.68,50.810001,294200,50.645965
2015-07-20,53.209999,53.209999,52.02,52.060001,158600,51.89193
2015-07-17,52.220001,53.419998,51.720001,53.049999,254900,52.878731
2015-07-16,51.369999,52.459999,51.369999,52.080002,208200,51.911865
2015-07-15,51.459999,51.700001,50.939999,51.450001,257500,51.283898
2015-07-14,51.689999,51.689999,50.82,51.200001,192800,51.034705
2015-07-13,49.810001,51.75,49.810001,51.689999,293900,51.523121
2015-07-10,48.75,49.330002,48.68,49.25,248100,49.091
2015-07-09,49.650002,49.935001,48.459999,48.459999,243500,48.30355
2015-07-08,50.009998,50.400002,49.240002,49.349998,211800,49.190676
2015-07-07,49.799999,50.709999,49.48,50.630001,260200,50.466546
2015-07-06,49.00,50.139999,48.950001,49.50,560800,49.340193
2015-07-03,49.459999,49.720001,48.91,49.380001,80600,49.220581
2015-07-02,49.00,49.650002,48.50,49.619999,322500,49.459804
2015-06-30,47.130001,48.200001,46.860001,47.869999,345900,47.715454
2015-06-29,47.580002,48.00,46.799999,47.00,320900,46.848264
2015-06-26,47.169998,48.27,46.889999,48.060001,417200,47.904843
2015-06-25,46.869999,47.599998,46.689999,46.959999,360900,46.808392
2015-06-24,47.639999,47.639999,46.610001,46.75,321400,46.599071
2015-06-23,47.580002,48.25,47.419998,47.540001,256700,47.386522
2015-06-22,46.57,47.540001,46.27,47.490002,218100,47.336684
2015-06-19,45.709999,47.150002,45.709999,46.540001,1418400,46.38975
2015-06-18,45.810001,46.799999,45.389999,46.740002,353100,46.589105
2015-06-17,45.650002,46.310001,45.650002,45.849998,295200,45.701975
2015-06-16,46.669998,46.68,45.52,45.650002,285800,45.502624
2015-06-15,47.299999,47.310001,46.009998,46.48,209200,46.329942
2015-06-12,47.25,47.25,46.700001,46.700001,298000,46.549233
2015-06-11,46.939999,47.34,46.639999,47.130001,249200,46.977845
2015-06-10,46.50,47.310001,46.310001,46.59,272800,46.439588
2015-06-09,47.009998,47.209999,46.060001,46.709999,395100,46.559199
2015-06-08,48.889999,48.93,47.25,47.259998,309400,47.107423
2015-06-05,48.25,48.990002,48.07,48.900002,303300,48.742131
2015-06-04,48.18,48.700001,47.790001,48.310001,190900,48.154036
2015-06-03,48.529999,48.720001,48.00,48.34,227100,48.183938
2015-06-02,48.25,48.650002,47.700001,48.110001,193400,47.954681
2015-06-01,48.310001,48.540001,47.869999,48.189999,174000,48.034421
2015-05-29,47.889999,48.50,47.740002,48.16,603800,48.004519
2015-05-28,48.349998,48.650002,47.540001,47.75,212900,47.595843
2015-05-27,48.27,48.450001,47.619999,48.189999,247500,48.034421
2015-05-26,49.119999,49.689999,48.09,48.25,228300,47.97063
2015-05-25,48.700001,49.50,48.700001,49.220001,26000,48.935015
2015-05-22,49.630001,49.700001,48.43,48.970001,236200,48.686462
2015-05-21,50.200001,50.68,49.380001,49.419998,415900,49.133854
2015-05-20,50.66,50.82,49.84,50.099998,337400,49.809917
2015-05-19,50.00,50.68,49.790001,50.490002,281900,50.197662
2015-05-18,49.91,49.91,49.91,49.91,000,49.621018
2015-05-15,49.740002,50.799999,49.560001,50.740002,352100,50.446214
